Capteur,Variable,Unité remontée,Unité théorique
sensor_pachy1,cosphi2,,-
sensor_pachy1,puissanceA2,kW,W
sensor_pachy1,power3,W,W
sensor_pachy1,flow_rate3,l/h,l/h
sensor_pachy1,temp_diff2,degC,variable non décrite
sensor_pachy1,forward_temp1,degC,°C
sensor_pachy1,forward_temp3,degC,°C
sensor_pachy1,temp_diff3,degC,variable non décrite
sensor_pachy1,forward_temp2,degC,°C
sensor_pachy1,return_temp1,degC,°C
sensor_pachy1,return_temp3,degC,°C
sensor_pachy1,return_temp2,degC,°C
sensor_pachy1,temp_diff1,degC,variable non décrite
sensor_pachy1,energy1,W/h,kWh
sensor_pachy1,puissanceA1,kW,W
sensor_pachy1,cosphi1,,-
sensor_pachy1,energy3,W/h,kWh
sensor_pachy1,energyA2,kWh,variable non décrite
sensor_pachy1,count13,-,m3 x 100
sensor_pachy1,count23,-,variable non décrite
sensor_pachy1,power2,W,W
sensor_pachy1,energy2,W/h,kWh
sensor_pachy1,flow_rate2,l/h,l/h
sensor_pachy1,count12,-,variable non décrite
sensor_pachy1,count22,-,variable non décrite
sensor_pachy1,count11,-,variable non décrite
sensor_pachy1,count21,-,variable non décrite
sensor_pachy1,power1,W,W
sensor_pachy1,flow_rate1,l/h,l/h
sensor_pachy1,energyA1,kWh,kWh
sensor_pachy1,in11,[-],°C x 10
sensor_pachy1,in21,[-],bar
sensor_pachy1,humidity1,%,%
sensor_pachy1,temp_ext,degC,°C
sensor_pachy1,temperature2,degC,°C
sensor_pachy1,temperature1,degC,°C
sensor_pachy1,humidity2,%,%
sensor_pachy2,puissanceA2,kW,W
sensor_pachy2,cosphi2,,-
sensor_pachy2,energyA2,kWh,variable non décrite
sensor_pachy2,puissanceA1,kW,W
sensor_pachy2,cosphi1,,-
sensor_pachy2,energyA1,kWh,kWh
sensor_pachy2,forward_temp3,degC,°C
sensor_pachy2,power3,W,W
sensor_pachy2,energy3,W/h,kWh
sensor_pachy2,temp_diff3,degC,variable non décrite
sensor_pachy2,flow_rate3,l/h,l/h
sensor_pachy2,count13,-,m3 x 100
sensor_pachy2,return_temp3,degC,°C
sensor_pachy2,forward_temp2,degC,°C
sensor_pachy2,power2,W,W
sensor_pachy2,energy2,W/h,kWh
sensor_pachy2,temp_diff2,degC,variable non décrite
sensor_pachy2,flow_rate2,l/h,l/h
sensor_pachy2,count12,-,variable non décrite
sensor_pachy2,return_temp2,degC,°C
sensor_pachy2,forward_temp1,degC,°C
sensor_pachy2,power1,W,W
sensor_pachy2,energy1,W/h,kWh
sensor_pachy2,temp_diff1,degC,variable non décrite
sensor_pachy2,flow_rate1,l/h,l/h
sensor_pachy2,count11,-,variable non décrite
sensor_pachy2,return_temp1,degC,°C
sensor_pachy2,count23,-,variable non décrite
sensor_pachy2,count22,-,variable non décrite
